ANIK	B	37.8000	4.0500	5	3	60.3100	19.0100	4.2100	19.4900	27.8800	11.2400
ANIP	C	29.5600	3.8300	3	5	47.6800	\N	1.7400	13.2300	-31.0500	-5.2600
ANSS	B-	301.0400	0.0000	4	2	61.9900	63.3100	17.3100	33.0000	18.5300	9.5400
ANTM	B	267.2800	1.4500	\N	2	51.3100	14.4700	0.6200	13.3500	6.7100	1.8900
AOM	B-	40.5500	0.3700	\N	\N	64.6900	\N	\N	\N	8.0200	2.2200
AON	B-	200.9900	0.9700	7	3	63.4600	28.9200	4.1300	31.4600	9.2700	9.1700
AOR	B	47.5000	0.6600	\N	\N	64.6400	\N	\N	\N	11.2200	3.1300
AOS	B-	50.6300	1.4000	4	2	68.6800	25.2100	2.7900	28.5800	26.3200	6.2500
AOSL	C	10.7700	1.6000	2	3	52.1700	\N	0.6000	27.4100	24.8000	-4.9400
APA	B-	13.8200	2.2900	2	3	54.9200	\N	0.8300	2.0900	74.0600	-1.8500
APAM	B	34.6300	2.9100	8	1	63.7900	12.9200	3.1900	\N	55.4300	11.8500
APD	B-	281.9700	0.3500	7	3	82.0100	31.9300	6.9000	\N	31.8700	18.9700
APEI	B-	30.3600	4.8300	5	3	53.2800	41.8800	1.5800	13.1600	22.9600	5.3100
APH	C+	100.4400	3.1200	5	3	64.2200	27.3400	3.6400	30.2900	24.9700	4.1000
APLE	B-	9.2900	5.9300	4	3	47.5100	15.8800	1.7100	33.0000	11.1200	-17.6400
APLS	C+	33.3000	4.3600	1	3	56.7900	\N	\N	\N	4.1300	2.1800
APLT	B	30.7100	8.4000	\N	1	36.0100	\N	\N	\N	-24.3600	-28.0300
APO	C	51.8500	2.2500	2	3	59.7900	\N	29.0300	21.1900	52.4100	1.0900
APOG	B	22.9800	2.5900	6	5	55.5500	12.4200	0.4400	7.9900	33.5300	-1.1200
APPN	B-	46.1900	-0.3500	4	3	39.3400	\N	11.6900	\N	16.8500	-11.7800
APRE	B-	29.6200	3.1700	\N	3	38.7100	23.7100	\N	\N	-12.8800	-7.6100
APTS	B-	7.3700	1.5200	4	2	50.1100	\N	0.6900	\N	6.5000	-7.4100
APTV	B-	81.7800	4.5900	5	3	62.3000	9.0200	1.5600	30.1000	34.3500	8.2500
APY	C	\N	\N	\N	3	\N	\N	\N	\N	\N	\N
AQN	C	13.5900	-0.0700	5	4	55.6200	18.8800	4.4400	\N	-0.2200	-3.9600
AQUA	B	20.5100	7.0500	6	2	67.1800	36.6900	1.5700	33.0000	49.7100	14.0100
ARAV	B	11.1700	5.0800	5	3	40.3900	\N	58.7000	\N	9.4000	-19.2900
ARCB	B+	29.4300	4.4400	\N	3	69.2400	21.1300	0.2400	6.7000	59.5100	26.4700
ARCC	B-	14.4100	1.6900	\N	3	52.0800	\N	4.0000	\N	18.5000	-4.3800
ARCE	C	44.2600	0.0500	\N	3	46.4300	\N	17.7800	\N	-6.6000	-0.0500
ARCH	C	29.5000	4.8000	4	4	48.7600	3.8700	0.2000	\N	-6.6200	-12.1800
ARD	B	13.4000	1.0600	7	3	57.8900	\N	0.4500	\N	3.3200	4.5200
ARE	B-	163.7300	0.1600	4	2	56.6000	77.0900	12.9200	\N	7.7100	-1.0000
ARES	C	40.4000	1.6900	2	3	61.4500	125.8600	7.5400	\N	31.2100	5.9500
ARGO	C+	34.6200	3.9300	\N	4	56.5000	\N	0.5900	33.0000	-1.2500	0.1400
ARGX	C+	257.2900	1.2000	2	3	78.4800	\N	\N	\N	89.1400	16.9400
ARI	B-	9.7000	5.9000	\N	1	55.8700	140.5800	2.9500	\N	19.6100	-2.4100
ARKG	B	57.5800	3.2200	\N	\N	67.2000	\N	\N	\N	64.2700	25.6800
ARKK	C+	80.9300	2.6800	\N	\N	72.1900	\N	\N	\N	63.3000	25.2000
ARKW	B+	94.6700	1.1400	\N	\N	69.8700	\N	\N	\N	57.9700	19.5300
